object_number,is_highlight,is_public_domain,object_id,gallery_number,department,title,culture,object_date,object_begin_date,object_end_date,medium,credit_line
1983.509.2,False,True,38278,247,Asian Art,Architectural Element with Head of a Buddha,Indonesia (Java),9th–10th century,800,999,Terracotta,"Gift of Stanley and Anita Eisenberg, 1983"
1983.511.3,False,True,38281,247,Asian Art,Water Spout in the Form of a Makara,Indonesia (Java),ca. 10th century,850,1050,Andesite,"Gift of Cynthia Hazen Polsky, 1983"
1983.549,False,True,38282,247,Asian Art,Bust of a Bodhisattva,Indonesia (Java),9th–10th century,800,999,Andesite,"Gift of Bette-Ann and William Spielman, 1983"
1987.142.213,False,True,38100,235,Asian Art,Garland Holder with a Winged Celestial,Pakistan (ancient region of Gandhara),mid-1st century,34,66,Schist,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987"
1984.219,False,True,38102,234,Asian Art,"Vessel in the Shape of a Female
",Pakistan (Northwest Frontier Province),ca. 1000–500 BCE,-1000,-500,Terracotta,"Seymour Fund, 1984"
1987.142.309,False,True,38103,234,Asian Art,Standing Female Figure with an Offering,India,1st–2nd century,1,199,Gold,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987"
42.25.15,False,True,38108,600,Asian Art,Bust of a Bodhisattva,Pakistan (ancient region of Gandhara),ca. 4th–5th century,300,499,Schist,"Gift of Abby Aldrich Rockefeller, 1942"
20.58.15,False,True,38109,236,Asian Art,Seated Bodhisattva Maitreya (Buddha of the Future),Afghanistan (found near Kabul),7th–8th century,600,799,Schist,"Rogers Fund, 1920"
"1987.142.70a, b",False,True,38111,235,Asian Art,"Inscribed Reliquary, Donated by King Indravarman","Pakistan (ancient region of Gandhara, Bajaur)",5–6 CE,5,6,Schist,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987"
36.96.2,False,True,38303,249,Asian Art,Pillar Fragment with Dancing Apsaras,Cambodia,late 12th–early 13th century,1167,1233,Stone,"Fletcher Fund, 1936"
36.96.4,True,True,38304,249,Asian Art,Bust of Hevajra,Cambodia,late 12th–early 13th century,1167,1233,Stone,"Fletcher Fund, 1936"
1987.218.5,False,True,38119,235,Asian Art,Fasting Buddha Shakyamuni,Pakistan (ancient region of Gandhara),3rd–5th century,200,499,Schist,"Samuel Eilenberg Collection, Ex Coll.: Columbia University, Purchase, Rogers, Dodge, Harris Brisbane Dick and Fletcher Funds, Joseph Pulitzer Bequest, and Lila Acheson Wallace Gift, 1987"
1987.478,True,True,38314,249,Asian Art,Standing Shiva or Temple Guardian (Dvarapala),Vietnam (Champa),ca. first half of the 10th century,900,949,Stone,"Gift of R. H. Ellsworth Ltd., in honor of Douglas Dillon, 1987"
1991.421,True,True,38127,238,Asian Art,"Shiva as Mrityunjaya, the Conquerer of Death",Bangladesh or India (Bengal),12th century,1100,1199,Black stone,"Gift of Florence and Herbert Irving, in memory of Alice Boney, 1991"
33.50.10,False,True,38128,238,Asian Art,"Sealing Depicting the Buddha at the Mahabodhi Temple, Bodhgaya",India (Bihar),9th century,800,899,Terracotta,"Rogers Fund, 1933"
1982.247,False,True,38322,252,Asian Art,"Bodhisattva, Probably Amoghapasa Lokeshvara",Nepal (Kathmandu Valley),14th–15th century,1300,1499,Wood with traces of gesso and color,"Gift of Margery and Harry Kahn, 1982"
1986.501.6,False,True,38131,238,Asian Art,Carved Conch with Lakshmi-Narayana,India (possibly West Bengal) or Bangladesh,11th–12th century,1000,1199,Shell with silver additions,"Gift of Evelyn Kossak, The Kronos Collections, 1986"
1986.501.5,False,True,38132,238,Asian Art,Carved Conch,India,11th century or earlier,1000,1099,Shell,"Gift of Evelyn Kossak, The Kronos Collections, 1986"
1984.296,True,True,38133,239,Asian Art,Enthroned Vishnu,India,second half of the 8th–early 9th century,750,833,Granulite,"Purchase, The Charles Engelhard Foundation Gift, in memory of Charles Engelhard, 1984"
1983.518,False,True,38134,239,Asian Art,Garuda (Vishnu's Mount) Seated in Royal Ease,"India, Tamil Nadu",second half of the 8th–early 9th century,750,833,Granite,"Gift of Alice and Nasli M. Heeramaneck, 1983"
1982.220.13,True,True,38330,252,Asian Art,The Bodhisattva Manjushri as a Ferocious Destroyer of Ignorance,"Nepal, Kathmandu Valley",10th century,900,999,Gilt-copper alloy with color and gold paint,"Purchase, Harris Brisbane Dick, Dodge and Fletcher Funds, and Joseph Pulitzer Bequest, 1982"
1981.296.15,False,True,62067,222,Asian Art,Drill for carving jade,China,20th century,1900,1999,Steel,"Gift of Joan Hartman-Goldsmith, 1981"
1981.296.16,False,True,62068,222,Asian Art,Drill for carving jade,China,20th century,1900,1999,Steel,"Gift of Joan Hartman-Goldsmith, 1981"
1981.296.17,False,True,62069,222,Asian Art,Drill for carving jade,China,20th century,1900,1999,Steel,"Gift of Joan Hartman-Goldsmith, 1981"
1981.296.19,False,True,62071,222,Asian Art,Tubular drill for carving jade,China,20th century,1900,1999,Steel,"Gift of Joan Hartman-Goldsmith, 1981"
1981.296.22,False,True,62074,222,Asian Art,Polishing wheel for carving jade,China,20th century,1900,1999,Wood,"Gift of Joan Hartman-Goldsmith, 1981"
1981.296.24,False,True,62076,222,Asian Art,Polishing wheel for carving jade,China,20th century,1900,1999,Leather,"Gift of Joan Hartman-Goldsmith, 1981"
1981.296.25,False,True,62077,222,Asian Art,Polishing wheel for carving jade,China,20th century,1900,1999,Dried gourd peel,"Gift of Joan Hartman-Goldsmith, 1981"
1981.296.27,False,True,62079,222,Asian Art,Small polishing wheel for carving jade,China,20th century,1900,1999,Dried gourd peel,"Gift of Joan Hartman-Goldsmith, 1981"
79.2.805,False,True,62528,231,Asian Art,Gourd-Shaped Sake Bottle (Tokkuri) with Carved Floral Design and Jewel,Japan,18th century,1700,1799,"Porcelain with celadon glaze and cobalt blue under transparent glaze (Hizen ware, Arita type)","Purchase by subscription, 1879"
"48.162.1a, b",False,True,62365,745,Asian Art,Kannon Bosatsu,Japan,11th century,1000,1099,Gilt wood,"Gift of Robert Lehman, 1948"
"23.225.252a, b",False,True,63024,223,Asian Art,"Incense Container (Kōgō) in the Shape of a Clamshell, with Cranes (exterior) and Tortoise Motifs (interior)",Japan,first half 19th century,1800,1849,"Porcelain with cobalt blue under (interior) and red and gold over (exterior) transparent glaze (Kyoto ware, Eiraku type)","Gift of Mrs. V. Everit Macy, 1923"
2001.361.1,False,True,61634,210,Asian Art,"Vase with abstract decoration

",China,13th–14th century,1271,1368,"Stoneware with carved and incised design under celadon glaze (Cizhou ware)


","Bequest of Mr. and Mrs. Myron S. Falk Jr., 2000"
30.81,False,True,61650,206,Asian Art,Right hand of Buddha,"China (Northern Xiangtangshan, North Cave)",ca. 550–560,540,570,Limestone with pigment and gilding,"Gift of C. T. Loo, 1930"
"34.56a, b",False,True,61660,208,Asian Art,Bodhisattva,China,12th–13th century,1100,1299,Marble with pigment,"Fletcher Fund, 1934"
93.1.151,False,True,62679,745,Asian Art,Bowl,Japan,19th century,1800,1899,"Clay partly covered with glaze; reserves forming patterns having slip dots in the center, covered with a transparent glaze (Kyoto ware)","Gift of Mr. and Mrs. Samuel Colman, 1893"
93.3.17,False,True,62720,232,Asian Art,Incense Burner (Kōro) in the Shape of a Courtier’s Hat with Scrolling Peonies,Japan,ca. 1690–1750,1690,1750,"Porcelain with celadon glaze (Hizen ware, Nabeshima type)","Gift of Charles Stewart Smith, 1893"
1975.208a–c,False,True,70582,899,Asian Art,Dye-Patterned Silk,India,17th century,1600,1699,"Silk (clamp resist, dyed)","Rogers Fund, 1975"
64.273.20,False,True,70947,690,Asian Art,Fan with auspicious vernal imagery,Japan,Probably 19th century,1800,1899,"Ink, color, and gold on paper; bamboo","Gift of Laurent Oppenheim Jr., in memory of Laurent and Amy Oppenheim, 1964"
2009.292,False,True,72300,242,Asian Art,Architect's Plummet,"Sri Lanka, Pollonnaruva",ca. 12th century,1150,1250,"Copper alloy, iron armature","Gift of Barry Fernando, M.D. and Coleene Fernando, M.D., 2009"
1987.424.1a–f,False,True,72306,244,Asian Art,Five Earrings and a Bead,Thailand (Ban Chiang),ca. 500 BCE–300 CE,-510,300,"a) glass
b) ivory (?)
c) glass
d) glass
e) glass
f) glass","Gift of Cynthia Hazen Polsky, 1987"
2006.218,False,True,73214,238,Asian Art,Model of the Mahabodhi Temple,"India, Bihar",12th century,1100,1200,Quartz-muscovite-chlorite-talc phyllite,"Gift of John and Fausta Eskenazi, 2006"
"2006.520a, b",False,True,73219,207,Asian Art,Covered jar,China,7th century,600,699,Earthenware with blue glaze,"Gift of Dr. and Mrs. Samuel Mandel, in honor of Dr. Allan Rosenfield, 2006"
2004.59,False,True,72377,244,Asian Art,Ewer with Elephant-Headed Spout,Vietnam,late 2nd–3rd century,167,233,Bronze,"Purchase, Friends of Asian Art Gifts, 2004"
