object_number,is_highlight,is_public_domain,object_id,gallery_number,department,title,culture,object_date,object_begin_date,object_end_date,medium,credit_line
1989.363.45,False,True,45673,211,Asian Art,Landscape of the four seasons,China,15th century,1400,1499,Handscroll; ink and color on silk,"Bequest of John M. Crawford Jr., 1988"
79.2.1223,False,True,45965,201,Asian Art,Vase with entwined dragon,China,late 17th–early 18th century,1668,1722,"Porcelain painted in overglaze polychrome enamels, and relief decoration with dark blue glaze and gilt (Jingdezhen ware)","Purchase by subscription, 1879"
57.70.5,False,True,45753,231,Asian Art,Street Scenes in Kyoto,Japan,late 17th century,1667,1699,Handscroll; ink and color on paper,"Gift of Edward M. Bratter, 1957"
79.2.634,False,True,46904,201,Asian Art,Saucer with Butterflies,China,18th century,1736,1795,Porcelain painted with colored enamels and gilded (Jingdezhen ware),"Purchase by subscription, 1879"
79.2.633,False,True,46905,201,Asian Art,Cup with Butterflies,China,18th century,1736,1795,"Porcelain painted with colored enamels and gilded (Jingdezhen ware)

","Purchase by subscription, 1879"
79.2.1375,False,True,46915,220,Asian Art,Vase,China,,1736,1795,Porcelain painted in underglaze cobalt blue and overglaze polychrome enamels (Jingdezhen ware),"Purchase by subscription, 1879"
23.225.151,False,True,46509,201,Asian Art,"Dish in Shape of Japanese Court Woman

",Japan,ca. 1780,1770,1790,"Porcelain decorated with colored enamels over transparent glaze (Hizen ware; Imari type)

","Gift of Mrs. V. Everit Macy, 1923"
36.120.654,False,True,47258,231,Asian Art,Sake Bottle (Tokkuri) in the Shape of an Eggplant,Japan,second half 19th century,1850,1899,Stoneware with iridescent iron glaze and rice straw ash (Bairin ware),"The Howard Mansfield Collection, Gift of Howard Mansfield, 1936"
17.120.198,False,True,47320,221,Asian Art,Vase with openwork pattern of flowers,China,mid-18th century,1736,1766,Porcelain painted in overglaze enamels (Jingdezhen ware),"Mr. and Mrs. Isaac D. Fletcher Collection, Bequest of Isaac D. Fletcher, 1917"
79.2.295,False,True,47429,213,Asian Art,Vase with scholars in a garden,China,late 17th–early 18th century,1668,1733,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),"Purchase by subscription, 1879"
1975.268.613,False,True,63648,229,Asian Art,Ishizara with Warbler on a Flowering Plum Branch,Japan,early 19th century,1800,1833,Stoneware with iron brown and cobalt blue under transparent glaze (Seto ware),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.615,False,True,63651,229,Asian Art,Ishizara with Horse and “Horse-Eye” Pattern,Japan,early 19th century,1800,1833,Stoneware with iron brown under transparent glaze (Seto ware),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.616,False,True,63652,229,Asian Art,Ishizara with “Horse-Eye” Pattern,Japan,early 19th century,1800,1833,Stoneware with iron brown under transparent glaze (Seto ware),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.626,False,True,63696,229,Asian Art,Set of Three Everyday Vessels (Kurawanka Bowls) with Flowers,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type) 
","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.627,False,True,63698,229,Asian Art,Set of Three Everyday Vessels (Kurawanka Bowls) with Flowers,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.628,False,True,63699,229,Asian Art,Set of Three Everyday Vessels (Kurawanka Bowls) with Flowers,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.631,False,True,63701,229,Asian Art,Set of Five Everyday Vessels (Kurawanka Bowls),Japan,early 19th century,1800,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.632,False,True,63702,229,Asian Art,Set of Five Everyday Vessels (Kurawanka Bowls),Japan,early 19th century,1800,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.635,False,True,63706,229,Asian Art,くらわんか碗　5口,Japan,early 19th century,1800,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Hasami type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.643,False,True,63711,231,Asian Art,Set of Five Soba Cups (Soba Choko) with Swirl Patterns,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.645,False,True,63713,231,Asian Art,Set of Five Soba Cups (Soba Choko) with Swirl Patterns,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.646,False,True,63714,231,Asian Art,Set of Five Soba Cups (Soba Choko) with Swirl Patterns,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.663,False,True,63733,231,Asian Art,Set of Five Soba Cups (Soba choko) with Interlinked Circles (Shippō),Japan,second half 18th century,1750,1799,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.665,False,True,63735,231,Asian Art,Set of Five Soba Cups (Soba choko) with Interlinked Circles (Shippō),Japan,second half 18th century,1750,1799,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.666,False,True,63736,231,Asian Art,Set of Five Soba Cups (Soba choko) with Interlinked Circles (Shippō),Japan,second half 18th century,1750,1799,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.673,False,True,63744,231,Asian Art,Set of Five Sencha Teacups (Sencha wan) with Lattice Pattern,Japan,18th century,1700,1799,Porcelain painted with cobalt blue under a transparent glaze (Hizen ware),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.677,False,True,63748,231,Asian Art,Set of Five Sencha Teacups (Sencha wan) with Lattice Pattern,Japan,early 18th century18th century,1700,1799,Porcelain painted with cobalt blue under a transparent glaze (Hizen ware),"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
66.155.3,False,True,63530,223,Asian Art,Dish with Assorted Treasures Floating on Waves,Japan,late 17th–early 18th century,1667,1733,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Nabeshima type)","Gift of Harold G. Henderson, 1966"
2002.131,True,True,63532,250,Asian Art,Seated Buddha,Thailand,15th century,1400,1450,Bronze,"Purchase, The J. H. W. Thompson Foundation Gift and Gifts of friends of Jim Thompson, in his memory, 2002"
1975.268.457,False,True,63565,227,Asian Art,"Jar (Tsubo) with Stylized Net Design 

",Japan,ca. 1620–40,1620,1640,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.490,False,True,63589,230,Asian Art,Set of Five Small Dishes (Kozara) with Flowering Plum and Warbler,Japan,ca. 1640s,1630,1650,"Porcelain with cobalt blue under transparent glaze and iron-brown rim (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.491,False,True,63590,230,Asian Art,Set of Five Small Dishes (Kozara) with Flowering Plum and Warbler,Japan,ca. 1640s,1630,1650,"Porcelain with cobalt blue under transparent glaze and iron-brown rim (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.515,False,True,63600,231,Asian Art,Set of Five Small Dishes (Kozara) with Turnip,Japan,mid-17th century,1634,1666,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.516,False,True,63601,231,Asian Art,Set of Five Small Dishes (Kozara) with Turnip,Japan,mid-17th century,1634,1666,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.548,False,True,63624,230,Asian Art,Small Dish with Floral Design,Japan,ca. 1650s,1650,1659,"Porcelain with cobalt blue under transparent glaze and polychrome enamels over the glaze (Hizen ware, Nabeshima type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
2001.770.1,False,True,64116,246,Asian Art,Seated Buddha Flanked by Two Bodhisattvas,Thailand,7th–9th century,550,950,Terracotta,"Gift of Michael Phillips and Juliana Maio, 2001"
2001.770.2,False,True,64117,246,Asian Art,Seated Buddha Flanked by Two Bodhisattvas,Thailand,7th–9th century,550,950,Terracotta,"Gift of Michael Phillips and Juliana Maio, 2001"
2001.770.3,False,True,64118,246,Asian Art,The Miracle of Shravasti,Thailand,7th–9th century,550,950,Terracotta,"Gift of Michael Phillips and Juliana Maio, 2001"
2001.629,False,True,64119,205,Asian Art,"Pilgrim’s flask with Central Asian dancers

",China,late 6th century,568,599,"Earthenware with molded decoration under olive-green glaze

","Purchase, Mr. and Mrs. William P. Frankenhoff and Mrs. Richard E. Linburn Gifts, 2001"
2001.758.2,False,True,64386,247,Asian Art,"Standing Manjushri, the Bodhisattva of Infinite Wisdom",Indonesia (Java),ca. mid–9th century,834,866,Bronze,"Gift of Jeffrey B. Soref, 2001"
2015.300.201,False,True,64872,231,Asian Art,Scenes of the Four Seasons in Kyoto,Japan,1778,1778,1778,Handscroll; ink and color on silk,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015"
2002.255,False,True,64920,207,Asian Art,Ornamental Plaque,China,4th–5th century,300,499,"Gilt bronze, gold, lapis lazuli, turquoise, and white coral","Purchase, Bequest of Dorothy Graham Bennett, 2002"
2002.361.1,False,True,64922,231,Asian Art,Blue Glass Sake Bottle (Tokkuri),Japan,late 18th–first half 19th century,1767,1849,Indigo-blue glass,"Purchase, Friends of Asian Art Gifts, 2002"
2002.269,False,True,65006,218,Asian Art,Daoist deity Zhenwu with two attendants,China,17th century,1600,1699,Porcelain with turquoise and aubergine glazes (Jingdezhen ware),"Gift of Mrs. Vincent Astor, 2002"
2004.173,False,True,65010,234,Asian Art,The Moon God Chandra(?) in His Chariot with Wife and Attendant,India (West Bengal),2nd–1st century BCE,-200,-1,Ivory,"Purchase, John Stewart and Arnold Lieberman, Kurt Berliner, Jann S. and Jane Wenner, Nancy Wiener Gallery, Helene and Philippe Leloup and Anonymous Gifts, and funds from various donors, 2004"
19.93.50,False,True,65086,224,Asian Art,Seven-Panel Buddhist Monk’s Vestment (Shichijō kesa) Made from a Chinese Robe,Japan,18th century,1700,1799,Silk satin brocaded with silk and metallic thread; silk embroidery,"Purchase, Joseph Pulitzer Bequest, 1919"
2003.142,True,True,65095,249,Asian Art,Antefix with Kneeling Guardian,Cambodia,third quarter of the 10th century,951,975,Reddish sandstone,"Gift of The Randall and Barbara Smith Foundation Inc., 2003"
2002.501,False,True,65100,207,Asian Art,Standing attendant,China,7th century,600,699,Earthenware with pigment,"Purchase, Barbara and William Karatz Gift, 2002"
2002.201.12,False,True,65256,207,Asian Art,Plaque in the shape of a horse-drawn chariot,Northeast China,8th–7th century BCE,-799,-600,Bronze,"Gift of Mr. and Mrs. Eugene V. Thaw, 2002"
"2003.82a, b",False,True,65348,207,Asian Art,"""Inkstone"" and cover in the shape of a turtle",China,6th–7th century,581,699,Earthenware,"Purchase, The Vincent Astor Foundation Gift, 2003"
2015.301,False,True,65556,246,Asian Art,"Standing Avalokiteshvara, the Bodhisattva of Infinite Compassion",Thailand,8th–9th century,700,900,Gold,"Gift of Jonathan and Jeannette Rosen, 2015"
2003.232,False,True,65599,462,Asian Art,Elephant-Shaped Kendi Drinking Vessel,China,late 16th century,1567,1599,Porcelain painted in underglaze blue,"Purchase, Seymour Fund, funds from various donors and Stanley Herzman Gift, 2003"
2003.495,False,True,65605,253,Asian Art,Roundel with Karma Lineage,Tibet,16th century,1500,1599,Ivory,"Purchase, Friends of Asian Art Gifts, 2003"
2003.376,False,True,65696,253,Asian Art,"Mahasiddha, Possibly Campaka, the Flower King",Tibet,early 14th century,1300,1333,Copper alloy,"Purchase, Florence and Herbert Irving Gift and Rogers Fund, 2003"
16.122.5,False,True,48373,224,Asian Art,Tea bowl,China,13th century,1200,1279,"Stoneware with celadon glaze (Longquan ware), gold lacquer repairs","Rogers Fund, 1916"
42.18.3,False,True,48503,205,Asian Art,Sherd,China,,960,1279,Stoneware; Guan ware,"Gift of Judge Edgar Bromberger, 1942"
79.2.467,False,True,48559,220,Asian Art,Gourd-shaped vase with gourds on vines and bats,China,early 18th century,1700,1733,"Porcelain painted in underglaze cobalt blue (Jingdezhen ware)
","Purchase by subscription, 1879"
37.191.8,False,True,48597,221,Asian Art,Vase,China,,1662,1722,Porcelain painted in famille verte enamels,"Gift of Robert E. Tod, 1937"
23.225.371,False,True,47636,228,Asian Art,Used-Water Container (Kensui),Japan,mid-19th century,1834,1866,Stoneware with iron glaze (Takatori ware),"Gift of Mrs. V. Everit Macy, 1923"
1989.363.112,False,True,49013,212,Asian Art,Landscape,China,mid-17th century,1634,1666,Folding fan mounted as an album leaf; ink on gold paper,"Bequest of John M. Crawford Jr., 1988"
17.57.1,False,True,48450,224,Asian Art,Bowl,China,13th century,1200,1279,Stoneware with celadon glaze (Longquan ware); gold lacquer repairs,"Rogers Fund, 1917"
17.120.161,False,True,48462,204,Asian Art,Meiping vase with dragon,China,14th century,1300,1368,Stoneware with incised decoration under celadon glaze (Longquan ware),"Mr. and Mrs. Isaac D. Fletcher Collection, Bequest of Isaac D. Fletcher, 1917"
"14.40.233a, b",False,True,48649,200,Asian Art,Jar with Flowers,China,mid-18th century,1734,1766,"Porcelain painted with colored enamels over transparent glaze (Jingdezhen ware)

","Bequest of Benjamin Altman, 1913"
14.40.85,False,True,48711,200,Asian Art,"Vase with Scene from the Dragon Boat Festival

",China,late 17th–early 18th century,1667,1733,"Porcelain painted with colored enamels over transparent glaze (Jingdezhen ware)

","Bequest of Benjamin Altman, 1913"
1985.214.11,False,True,49497,207,Asian Art,Fantastic winged feline,China,4th–3rd century BCE,-400,-200,Bronze,"Gift of Ernest Erickson Foundation, 1985"
2002.447.37,False,True,49291,230,Asian Art,Large Dish (Ōzara) with Plants,Japan,ca. 1640s,1630,1650,"Porcelaneous stoneware with celadon glaze (Arita ware, Ko Imari type)","Dr. and Mrs. Roger G. Gerry Collection, Bequest of Dr. and Mrs. Roger G. Gerry, 2000"
51.66,False,True,49513,207,Asian Art,Horse,China,8th century,700,799,Earthenware with brown glazes,"Seymour Fund, 1951"
2000.662.8,False,True,49514,207,Asian Art,Groom,China,8th century,700,799,Earthenware with three-color (sancai) glaze,"Gift of Charlotte C. Weber, 2000"
2000.662.10,False,True,49515,207,Asian Art,Kneeling Lady in Greeting Gesture,China,,-206,9,Earthenware with traces of pigments over white slip,"Gift of Charlotte C. Weber, 2000"
13.220.85a–d,False,True,49517,207,Asian Art,House with Courtyard,China,1st–early 3rd century,1,233,Earthenware with green lead glaze,"John Stewart Kennedy Fund, 1913"
67.43.2,False,True,49518,207,Asian Art,Stove,China,1st–early 3rd century,1,233,Earthenware with green lead glaze,"Gift of Paul E. Manheim, 1967"
2000.662.5,False,True,49522,207,Asian Art,Circular Ram Pen with Rider,China,ca. 1st–early 3rd century,1,233,Earthenware with green lead glaze,"Gift of Charlotte C. Weber, 2000"
1985.214.105,False,True,49538,207,Asian Art,Scabbard Chape,China,4th–2nd century BCE,-400,-100,Agate,"Gift of Ernest Erickson Foundation, 1985"
20.89,False,True,49540,207,Asian Art,Panel in the Shape of a Sarcophagus Door,China,early 8th century,700,733,Limestone,"Rogers Fund, 1920"
1985.220.1,False,True,49542,207,Asian Art,Standing Official,China,mid-to-late 6th century,535,599,Earthenware with traces of pigment,"Gift of Mr. and Mrs. Nathan L. Halpern, 1985"
29.100.352,False,True,49349,219,Asian Art,Brush Washer,China,,1662,1722,Porcelain with peachbloom glaze (Jingdezhen ware),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929"
23.180.10,False,True,49547,207,Asian Art,Female attendant,China,late 6th–7th century,581,618,Glazed earthenware with pigment,"Rogers Fund, 1923"
36.12.19,False,True,49548,207,Asian Art,Resting dancer,China,second half of the 7th century,650,699,Earthenware with pigment,"Fletcher Fund, 1936"
29.100.217,False,True,49553,207,Asian Art,Amphora with dragon-shaped handles,China,7th century,600,699,Stoneware with white glaze,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929"
"2000.662.11a, b",False,True,49559,207,Asian Art,Covered jar,China,8th century,700,799,Earthenware with dappled black glaze,"Gift of Charlotte C. Weber, 2000"
21.146,False,True,49560,207,Asian Art,Censer,China,8th–9th century,700,899,Silver,"Rogers Fund, 1921"
22.79.5,False,True,49563,207,Asian Art,Ladle,China,8th century,700,799,Silver,"Rogers Fund, 1922"
67.43.1,False,True,49368,207,Asian Art,Camel,China,8th century,700,799,Earthenware with three-color (sancai) glaze,"Gift of Paul E. Manheim, 1967"
02.18.316,False,True,49369,207,Asian Art,Ritual object (Cong),China,13th–12th century BCE,-1300,-1100,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
67.228,False,True,49568,207,Asian Art,"Manjushri,  Bodhisattva of Wisdom, with five knots of hair (Wuji wenshu)",China,mid-11th century,1034,1066,Gilt bronze; lost-wax cast,"Purchase, Mary Livingston Griggs and Mary Griggs Burke Foundation, Janet Neff Charitable Trust and Christian Humann Gifts; Mrs. Robert Herndon Fife Gift, in memory of her husband; and Seymour Fund, 1967"
30.66.1,False,True,49575,207,Asian Art,Guardian Lion,China,mid-6th century,534,566,Limestone,"Rogers Fund, 1930"
"2025.829.1a, b",False,True,49576,207,Asian Art,Incense burner,China,8th century,700,799,Gilt bronze,"Gift of Charlotte C. Weber, 2025"
19.123a–e,False,True,49577,207,Asian Art,Decorative belt plaques,China,8th century,700,799,Gilt bronze,"Rogers Fund, 1919"
16.166,False,True,49578,207,Asian Art,Ceremonial ax,China,,618,907,Gilt bronze,"Rogers Fund, 1916"
17.118.96,False,True,49579,207,Asian Art,Mirror with parrots and flowers,China,8th–9th century,700,899,Bronze,"Rogers Fund, 1917"
30.37.2,False,True,49580,207,Asian Art,Dragon,China,7th century,600,699,Gilt bronze,"Gift of George D. Pratt, 1930"
30.37.3,False,True,49581,207,Asian Art,Dragon,China,7th century,600,699,Gilt bronze,"Gift of George D. Pratt, 1930"
24.100.12,False,True,49582,207,Asian Art,Decorative belt plaque,China,8th century,700,799,Gilt bronze,"Rogers Fund, 1924"
"23.212a, b",False,True,49583,207,Asian Art,Comb Tops,China,8th century,700,799,Gold,"Rogers Fund, 1923"
31.54.1,False,True,49584,207,Asian Art,Hair Ornament,China,8th century,700,799,Gold inlaid with turquoise,"Rogers Fund, 1931"
12.134.35,False,True,49585,207,Asian Art,Mirror with lions and flowers,China,8th–9th century,700,899,Bronze,"Rogers Fund, 1912"
22.141.2,False,True,49586,207,Asian Art,Mirror with birds and beasts amid grape vines,China,7th–8th century,600,799,Bronze,"Rogers Fund, 1922"
25.82.8,False,True,49587,207,Asian Art,Mirror with Grapes and Fantastic Sea Animals,China,8th century,700,799,Bronze,"Rogers Fund, 1925"
42.25.31,False,True,49588,207,Asian Art,Lion,China,8th century,700,799,Bronze with traces of gilding,"Gift of Abby Aldrich Rockefeller, 1942"
42.25.32,False,True,49589,207,Asian Art,Seated lion,China,6th century,500,599,Bronze with traces of gilding,"Gift of Abby Aldrich Rockefeller, 1942"
1974.268.6,False,True,49590,207,Asian Art,Mirror in the shape of an eight-lobed flower,China,8th–9th century,700,899,Bronze with repoussé gold back,"Purchase, Arthur M. Sackler Gift, 1974"
1985.214.22,False,True,49591,207,Asian Art,Mirror Back with Birds and Animals in Repoussé,China,8th century,700,799,Silver,"Gift of Ernest Erickson Foundation, 1985"
2002.447.109,False,True,49410,231,Asian Art,Food Cup (Choku) with Cherry Blossoms and Brushwood Fence,Japan,ca. 1690–1720s,1690,1729,"Porcelain with cobalt blue under transparent glaze and polychrome enamels over the glaze (Hizen ware, Nabeshima type)","Dr. and Mrs. Roger G. Gerry Collection, Bequest of Dr. and Mrs. Roger G. Gerry, 2000"
2002.447.121,False,True,49421,201,Asian Art,Plate Depicting Lady with a Parasol,Japan,ca. 1734–37,1734,1737,"Porcelain painted with cobalt blue under and colored enamels over transparent glaze (Hizen ware; Imari type)

","Dr. and Mrs. Roger G. Gerry Collection, Bequest of Dr. and Mrs. Roger G. Gerry, 2000"
24.72.20,False,True,49437,207,Asian Art,Spoon (Bi),China,late 9th–early 8th century BCE,-834,-767,Bronze,"Munsey Fund, 1931"
66.179,True,True,50799,252,Asian Art,"Tara, the Buddhist Savior","Nepal, Kathmandu Valley",14th century,1300,1399,Gilt copper alloy with color and semiprecious stone inlay,"Louis V. Bell Fund, 1966"
2001.433.7,False,True,50588,234,Asian Art,Eccentric Anthropomorph,India,1500–1000 BCE,-1500,-1000,Copper,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2001.433.9,False,True,50589,234,Asian Art,Eccentric Anthropomorph,Nepal (Kathmandu Valley),1500–1000 BCE,-1500,-1000,Copper,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2001.433.61,False,True,50598,234,Asian Art,Harpoon,India,1500–1000 BCE,-1500,-1000,Copper,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2001.433.69,False,True,50599,234,Asian Art,Serrated Harpoon,India,1500–500 BCE,-1500,-500,Copper,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2001.433.80,False,True,50615,234,Asian Art,Tool,India,1500–1000 BCE,-1500,-1000,Copper,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2001.433.19,False,True,50619,234,Asian Art,"Ax Blade (Celt)
",India,1500–1000 BCE,-1500,-1000,Copper,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2001.433.10,False,True,50639,234,Asian Art,Eccentric Anthropomorph,India,1500–1000 BCE,-1500,-1000,Copper,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
1985.208.5,False,True,50664,207,Asian Art,Rhyton with handle in the shape of a monkey,China,8th century,700,799,Earthenware with brown glaze,"Gift of Mr. and Mrs. Ezekiel Schloss, 1985"
"79.2.265a, b",False,True,50919,213,Asian Art,Covered jar decorated with blossoming plum and cracked ice,China,late 17th–early 18th century,1667,1733,Porcelain painted with cobalt blue under transparent glaze,"Purchase by subscription, 1879"
1977.449.10,False,True,50709,225,Asian Art,Jar with loop handles,China,7th century,618,699,Stoneware with olive celadon glaze,"Gift of Dr. Paul Singer, 1977"
66.206.9,False,True,50714,219,Asian Art,Vase in the shape of an ancient ritual beaker (gu),China,early 20th century,1900,1933,Porcelain with a pale green glaze (Jingdezhen ware),"Gift of Edwin C. Vogel, 1966"
30.76.57,False,True,50968,207,Asian Art,Ornament with mask motif,China,8th century,700,799,Earthenware with three-color (sancai) glaze,"Rogers Fund, 1930"
30.76.67a–c,False,True,50973,207,Asian Art,Miniature covered jar and “inkstone”,China,early 8th century,700,733,Earthenware with green glaze,"Rogers Fund, 1930"
29.100.334,False,True,50995,219,Asian Art,Water coupe,China,,1662,1722,Porcelain with peach-bloom glaze (Jingdezhen ware),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929"
33.40.77,False,True,51041,219,Asian Art,Bottle vase,China,,1736,1795,Porcelain with incised decoration (anhua) under a clair de lune glaze (Jingdezhen ware),"Bequest of Edward G. Kennedy, 1932"
